,docIdx,wordIdx,count,words
678,4,3501,1,dangerous
679,4,3559,1,correspond
680,4,3565,1,extend
681,4,3708,2,billions
682,4,3903,1,computer
683,4,3950,1,nice
684,4,3995,1,oriented
685,4,4066,1,regards
686,4,4088,2,ahead
687,4,4094,1,department
688,4,4316,1,divisions
689,4,4501,1,semitic
690,4,4709,1,rationality
691,4,4729,1,qualify
692,4,4743,3,understandable
693,4,4921,1,qualities
694,4,5003,1,leaves
695,4,5082,1,capable
696,4,5149,1,anybody
697,4,5488,1,granted
698,4,5915,1,sadly
699,4,6099,1,intuition
700,4,6427,1,suicide
701,4,6521,1,amazing
702,4,6625,1,bet
703,4,6954,1,guarding
704,4,7077,1,destroying
705,4,7670,4,encourages
706,4,7803,1,edt
707,4,7808,1,benevolence
708,4,7951,1,waco
709,4,8012,1,scorn
710,4,8142,1,seemingly
711,4,8413,1,bold
712,4,8811,1,sects
713,4,8979,1,moralities
714,4,9007,1,operates
715,4,9413,1,evaluated
716,4,9414,1,difficulty
717,4,9445,1,appalling
718,4,10050,1,visible
719,4,10310,1,colored
720,4,10528,1,testing
721,4,10775,4,toronto
722,4,11227,1,losing
723,4,11256,1,tests
724,4,11761,1,visiting
725,4,12034,1,offers
726,4,13012,1,framework
727,4,14705,1,skin
728,4,15869,1,constrained
729,4,17147,1,evaluate
730,4,18175,1,poking
731,4,19354,1,invested
732,4,20593,3,todd
733,4,22058,1,chest
734,4,22098,2,kelley
735,4,22508,1,retaining
736,4,31724,1,guise
737,4,31760,1,boil
738,4,31927,1,therein
739,4,36512,1,bullets
740,4,38811,1,nuances
741,4,41950,1,hypotheses
742,4,45754,1,debated
743,4,45956,1,pantheism
744,4,46815,1,arisen
745,4,53416,1,differentiated
746,4,53976,2,tgk
747,4,53977,1,quelled
748,4,53978,1,quintessential
749,4,53979,1,philanthropy
750,4,53980,3,supernaturalists
