ForecastID,Province_State,Date,Confirmed,Deaths
139,South Carolina,04-14-2020,3553,97
140,South Dakota,04-14-2020,988,6
141,Tennessee,04-14-2020,5827,124
142,Texas,04-14-2020,15027,342
143,Utah,04-14-2020,2417,18
144,Vermont,04-14-2020,752,29
145,Virginia,04-14-2020,6182,154
146,Washington,04-14-2020,10799,530
147,West Virginia,04-14-2020,640,9
148,Wisconsin,04-14-2020,3555,170
149,Wyoming,04-14-2020,282,1
150,Alabama,04-15-2020,4307,118
151,Alaska,04-15-2020,293,9
152,Arizona,04-15-2020,3964,142
153,Arkansas,04-15-2020,1569,33
154,California,04-15-2020,26686,860
155,Colorado,04-15-2020,7956,328
156,Connecticut,04-15-2020,14755,868
157,Delaware,04-15-2020,2014,46
158,Florida,04-15-2020,22511,596
159,Georgia,04-15-2020,14987,552
160,Hawaii,04-15-2020,524,9
161,Idaho,04-15-2020,1473,39
162,Illinois,04-15-2020,24593,949
163,Indiana,04-15-2020,8960,436
164,Iowa,04-15-2020,1995,53
165,Kansas,04-15-2020,1504,73
166,Kentucky,04-15-2020,2210,115
167,Louisiana,04-15-2020,21951,1103
168,Maine,04-15-2020,770,24
169,Maryland,04-15-2020,10032,311
170,Massachusetts,04-15-2020,29918,1108
171,Michigan,04-15-2020,28059,1921
172,Minnesota,04-15-2020,1809,87
173,Mississippi,04-15-2020,3360,122
174,Missouri,04-15-2020,4791,153
175,Montana,04-15-2020,404,7
176,Nebraska,04-15-2020,901,20
177,Nevada,04-15-2020,3211,131
178,New Hampshire,04-15-2020,1139,32
179,New Jersey,04-15-2020,71030,3156
180,New Mexico,04-15-2020,1484,36
181,New York,04-15-2020,214454,11617
182,North Carolina,04-15-2020,5340,130
183,North Dakota,04-15-2020,365,9
184,Ohio,04-15-2020,7794,362
185,Oklahoma,04-15-2020,2263,123
186,Oregon,04-15-2020,1663,58
187,Pennsylvania,04-15-2020,26753,779
188,Rhode Island,04-15-2020,3251,80
189,South Carolina,04-15-2020,3656,106
190,South Dakota,04-15-2020,1168,6
191,Tennessee,04-15-2020,5827,124
192,Texas,04-15-2020,15941,378
193,Utah,04-15-2020,2548,20
194,Vermont,04-15-2020,759,29
195,Virginia,04-15-2020,6500,195
196,Washington,04-15-2020,10942,552
197,West Virginia,04-15-2020,702,10
198,Wisconsin,04-15-2020,3721,183
199,Wyoming,04-15-2020,287,1
200,Alabama,04-16-2020,4465,133
201,Alaska,04-16-2020,300,9
202,Arizona,04-16-2020,4237,150
203,Arkansas,04-16-2020,1620,37
204,California,04-16-2020,27677,956
205,Colorado,04-16-2020,8286,355
206,Connecticut,04-16-2020,15884,971
207,Delaware,04-16-2020,2070,55
208,Florida,04-16-2020,23343,668
209,Georgia,04-16-2020,15669,587
210,Hawaii,04-16-2020,530,9
211,Idaho,04-16-2020,1587,41
212,Illinois,04-16-2020,25734,1072
213,Indiana,04-16-2020,9542,477
214,Iowa,04-16-2020,2141,60
215,Kansas,04-16-2020,1615,80
216,Kentucky,04-16-2020,2435,129
217,Louisiana,04-16-2020,22532,1156
218,Maine,04-16-2020,796,27
219,Maryland,04-16-2020,10784,319
220,Massachusetts,04-16-2020,32181,1108
221,Michigan,04-16-2020,28809,1996
222,Minnesota,04-16-2020,1809,87
223,Mississippi,04-16-2020,3624,129
224,Missouri,04-16-2020,5174,169
225,Montana,04-16-2020,415,7
226,Nebraska,04-16-2020,952,21
227,Nevada,04-16-2020,3214,137
228,New Hampshire,04-16-2020,1139,32
229,New Jersey,04-16-2020,75317,3518
230,New Mexico,04-16-2020,1484,36
231,New York,04-16-2020,223691,14832
232,North Carolina,04-16-2020,5639,150
233,North Dakota,04-16-2020,393,9
234,Ohio,04-16-2020,8414,407
235,Oklahoma,04-16-2020,2357,131
236,Oregon,04-16-2020,1736,64
237,Pennsylvania,04-16-2020,28258,841
238,Rhode Island,04-16-2020,3529,87
239,South Carolina,04-16-2020,3931,111
240,South Dakota,04-16-2020,1311,7
241,Tennessee,04-16-2020,6375,136
242,Texas,04-16-2020,16900,415
243,Utah,04-16-2020,2683,20
244,Vermont,04-16-2020,774,33
245,Virginia,04-16-2020,6889,208
246,Washington,04-16-2020,11057,579
247,West Virginia,04-16-2020,728,12
248,Wisconsin,04-16-2020,3875,197
249,Wyoming,04-16-2020,296,2
250,Alabama,04-17-2020,4557,148
251,Alaska,04-17-2020,309,9
252,Arizona,04-17-2020,4511,169
253,Arkansas,04-17-2020,1695,37
254,California,04-17-2020,29157,1037
255,Colorado,04-17-2020,8691,372
256,Connecticut,04-17-2020,16809,1036
257,Delaware,04-17-2020,2317,61
258,Florida,04-17-2020,24759,725
259,Georgia,04-17-2020,17194,650
260,Hawaii,04-17-2020,541,9
261,Idaho,04-17-2020,1609,41
262,Illinois,04-17-2020,27578,1132
263,Indiana,04-17-2020,10154,522
264,Iowa,04-17-2020,2332,64
265,Kansas,04-17-2020,1730,84
266,Kentucky,04-17-2020,2522,137
267,Louisiana,04-17-2020,23118,1213
268,Maine,04-17-2020,827,29
269,Maryland,04-17-2020,11572,334
270,Massachusetts,04-17-2020,34402,1245
271,Michigan,04-17-2020,30023,2227
272,Minnesota,04-17-2020,2070,111
273,Mississippi,04-17-2020,3793,140
274,Missouri,04-17-2020,5371,184
275,Montana,04-17-2020,422,8
276,Nebraska,04-17-2020,1066,24
277,Nevada,04-17-2020,3524,142
278,New Hampshire,04-17-2020,1287,37
279,New Jersey,04-17-2020,78467,3840
280,New Mexico,04-17-2020,1597,44
281,New York,04-17-2020,230597,17131
282,North Carolina,04-17-2020,6045,177
283,North Dakota,04-17-2020,393,9
284,Ohio,04-17-2020,9107,418
285,Oklahoma,04-17-2020,2465,136
286,Oregon,04-17-2020,1785,70
287,Pennsylvania,04-17-2020,29888,921
288,Rhode Island,04-17-2020,4177,118
289,South Carolina,04-17-2020,4099,116
290,South Dakota,04-17-2020,1411,7
291,Tennessee,04-17-2020,6263,141
292,Texas,04-17-2020,17870,451
293,Utah,04-17-2020,2793,23
294,Vermont,04-17-2020,779,35
295,Virginia,04-17-2020,7491,231
296,Washington,04-17-2020,11517,603
297,West Virginia,04-17-2020,775,16
298,Wisconsin,04-17-2020,4053,206
299,Wyoming,04-17-2020,305,2
300,Alabama,04-18-2020,4788,153
301,Alaska,04-18-2020,314,9
302,Arizona,04-18-2020,4724,180
303,Arkansas,04-18-2020,1744,38
304,California,04-18-2020,30491,1140
305,Colorado,04-18-2020,9047,389
306,Connecticut,04-18-2020,17550,1086
307,Delaware,04-18-2020,2538,67
308,Florida,04-18-2020,25492,748
309,Georgia,04-18-2020,17669,673
310,Hawaii,04-18-2020,574,9
311,Idaho,04-18-2020,1655,43
312,Illinois,04-18-2020,29160,1259
313,Indiana,04-18-2020,10641,545
314,Iowa,04-18-2020,2513,74
315,Kansas,04-18-2020,1821,86
316,Kentucky,04-18-2020,2707,144
317,Louisiana,04-18-2020,23580,1267
318,Maine,04-18-2020,847,32
319,Maryland,04-18-2020,12326,421
320,Massachusetts,04-18-2020,36372,1404
321,Michigan,04-18-2020,30791,2308
322,Minnesota,04-18-2020,2209,121
323,Mississippi,04-18-2020,3974,152
324,Missouri,04-18-2020,5579,197
325,Montana,04-18-2020,426,10
326,Nebraska,04-18-2020,1249,24
327,Nevada,04-18-2020,3626,151
328,New Hampshire,04-18-2020,1342,38
329,New Jersey,04-18-2020,81420,4070
330,New Mexico,04-18-2020,1798,53
331,New York,04-18-2020,241712,17671
332,North Carolina,04-18-2020,6328,187
333,North Dakota,04-18-2020,528,9
334,Ohio,04-18-2020,10222,451
335,Oklahoma,04-18-2020,2465,136
336,Oregon,04-18-2020,1844,72
337,Pennsylvania,04-18-2020,31652,1042
338,Rhode Island,04-18-2020,4491,137
339,South Carolina,04-18-2020,4248,119
340,South Dakota,04-18-2020,1542,7
341,Tennessee,04-18-2020,6589,142
342,Texas,04-18-2020,18711,476
343,Utah,04-18-2020,2917,25
344,Vermont,04-18-2020,803,38
345,Virginia,04-18-2020,8053,258
346,Washington,04-18-2020,11776,613
347,West Virginia,04-18-2020,785,16
348,Wisconsin,04-18-2020,4199,212
349,Wyoming,04-18-2020,309,2
350,Alabama,04-19-2020,4978,157
351,Alaska,04-19-2020,319,9
352,Arizona,04-19-2020,4933,184
353,Arkansas,04-19-2020,1781,39
354,California,04-19-2020,31431,1177
355,Colorado,04-19-2020,9730,420
356,Connecticut,04-19-2020,17962,1127
357,Delaware,04-19-2020,2538,67
358,Florida,04-19-2020,26314,774
359,Georgia,04-19-2020,18301,687
360,Hawaii,04-19-2020,580,10
361,Idaho,04-19-2020,1668,44
362,Illinois,04-19-2020,30357,1290
363,Indiana,04-19-2020,11211,562
364,Iowa,04-19-2020,2902,75
365,Kansas,04-19-2020,1905,93
366,Kentucky,04-19-2020,2960,146
367,Louisiana,04-19-2020,23928,1296
368,Maine,04-19-2020,867,34
369,Maryland,04-19-2020,12847,461
370,Massachusetts,04-19-2020,38077,1706
371,Michigan,04-19-2020,31424,2391
372,Minnesota,04-19-2020,2356,134
373,Mississippi,04-19-2020,4274,159
374,Missouri,04-19-2020,5743,199
375,Montana,04-19-2020,433,10
376,Nebraska,04-19-2020,1474,28
377,Nevada,04-19-2020,3728,158
378,New Hampshire,04-19-2020,1390,38
379,New Jersey,04-19-2020,85301,4362
380,New Mexico,04-19-2020,1845,55
381,New York,04-19-2020,247815,18298
382,North Carolina,04-19-2020,6601,200
383,North Dakota,04-19-2020,585,9
384,Ohio,04-19-2020,11602,471
385,Oklahoma,04-19-2020,2567,140
386,Oregon,04-19-2020,1910,74
387,Pennsylvania,04-19-2020,32902,1276
388,Rhode Island,04-19-2020,4706,150
389,South Carolina,04-19-2020,4377,120
390,South Dakota,04-19-2020,1635,7
391,Tennessee,04-19-2020,7070,148
392,Texas,04-19-2020,19261,490
393,Utah,04-19-2020,3069,27
394,Vermont,04-19-2020,813,38
395,Virginia,04-19-2020,8542,277
396,Washington,04-19-2020,12255,636
397,West Virginia,04-19-2020,890,18
398,Wisconsin,04-19-2020,4346,220
399,Wyoming,04-19-2020,313,2
400,Alabama,04-20-2020,5163,163
401,Alaska,04-20-2020,321,9
402,Arizona,04-20-2020,5068,191
403,Arkansas,04-20-2020,1973,41
404,California,04-20-2020,33686,1225
405,Colorado,04-20-2020,9730,420
406,Connecticut,04-20-2020,19815,1331
407,Delaware,04-20-2020,2745,72
408,Florida,04-20-2020,27059,822
409,Georgia,04-20-2020,19407,775
410,Hawaii,04-20-2020,584,10
411,Idaho,04-20-2020,1672,45
412,Illinois,04-20-2020,31513,1349
413,Indiana,04-20-2020,11688,577
414,Iowa,04-20-2020,3159,79
415,Kansas,04-20-2020,2048,102
416,Kentucky,04-20-2020,3050,154
417,Louisiana,04-20-2020,24523,1328
418,Maine,04-20-2020,875,35
419,Maryland,04-20-2020,13684,582
420,Massachusetts,04-20-2020,38077,1706
421,Michigan,04-20-2020,32000,2468
422,Minnesota,04-20-2020,2470,143
423,Mississippi,04-20-2020,4512,169
424,Missouri,04-20-2020,5890,200
425,Montana,04-20-2020,433,10
426,Nebraska,04-20-2020,1648,33
427,Nevada,04-20-2020,3830,159
428,New Hampshire,04-20-2020,1447,42
429,New Jersey,04-20-2020,88722,4496
430,New Mexico,04-20-2020,1971,58
431,New York,04-20-2020,253060,18611
432,North Carolina,04-20-2020,6895,218
433,North Dakota,04-20-2020,627,9
434,Ohio,04-20-2020,12919,509
435,Oklahoma,04-20-2020,2680,143
436,Oregon,04-20-2020,1957,75
437,Pennsylvania,04-20-2020,33914,1348
438,Rhode Island,04-20-2020,5090,155
439,South Carolina,04-20-2020,4446,123
440,South Dakota,04-20-2020,1685,7
441,Tennessee,04-20-2020,7238,152
442,Texas,04-20-2020,19756,507
443,Utah,04-20-2020,3213,28
444,Vermont,04-20-2020,816,38
445,Virginia,04-20-2020,8990,300
446,Washington,04-20-2020,12114,643
447,West Virginia,04-20-2020,902,24
448,Wisconsin,04-20-2020,4499,230
449,Wyoming,04-20-2020,317,2
450,Alabama,04-21-2020,5404,183
451,Alaska,04-21-2020,329,9
452,Arizona,04-21-2020,5256,208
453,Arkansas,04-21-2020,1990,42
454,California,04-21-2020,35465,1282
455,Colorado,04-21-2020,10473,483
456,Connecticut,04-21-2020,20360,1423
457,Delaware,04-21-2020,2931,82
458,Florida,04-21-2020,27869,867
459,Georgia,04-21-2020,19881,798
460,Hawaii,04-21-2020,586,10
461,Idaho,04-21-2020,1736,48
462,Illinois,04-21-2020,33059,1468
463,Indiana,04-21-2020,12097,635
464,Iowa,04-21-2020,3641,83
465,Kansas,04-21-2020,2164,109
466,Kentucky,04-21-2020,3204,171
467,Louisiana,04-21-2020,24854,1405
468,Maine,04-21-2020,888,36
469,Maryland,04-21-2020,14193,652
470,Massachusetts,04-21-2020,41199,1961
471,Michigan,04-21-2020,32667,2575
472,Minnesota,04-21-2020,2567,160
473,Mississippi,04-21-2020,4716,183
474,Missouri,04-21-2020,6066,224
475,Montana,04-21-2020,437,12
476,Nebraska,04-21-2020,1685,33
477,Nevada,04-21-2020,3937,163
478,New Hampshire,04-21-2020,1490,42
479,New Jersey,04-21-2020,92387,4753
480,New Mexico,04-21-2020,1971,58
481,New York,04-21-2020,258361,19104
482,North Carolina,04-21-2020,7134,245
483,North Dakota,04-21-2020,644,13
484,Ohio,04-21-2020,13725,557
485,Oklahoma,04-21-2020,2807,164
486,Oregon,04-21-2020,2004,78
487,Pennsylvania,04-21-2020,35249,1614
488,Rhode Island,04-21-2020,5500,171
489,South Carolina,04-21-2020,4439,124
490,South Dakota,04-21-2020,1755,8
491,Tennessee,04-21-2020,7394,157
492,Texas,04-21-2020,20688,534
493,Utah,04-21-2020,3297,32
494,Vermont,04-21-2020,818,40
495,Virginia,04-21-2020,9630,324
496,Washington,04-21-2020,12392,664
497,West Virginia,04-21-2020,908,26
498,Wisconsin,04-21-2020,4625,244
499,Wyoming,04-21-2020,443,2
500,Alabama,04-22-2020,5692,196
501,Alaska,04-22-2020,335,9
502,Arizona,04-22-2020,5473,231
503,Arkansas,04-22-2020,2276,42
504,California,04-22-2020,37344,1421
505,Colorado,04-22-2020,10891,506
506,Connecticut,04-22-2020,22469,1544
507,Delaware,04-22-2020,3200,89
508,Florida,04-22-2020,28309,893
509,Georgia,04-22-2020,21214,848
510,Hawaii,04-22-2020,592,12
511,Idaho,04-22-2020,1766,51
512,Illinois,04-22-2020,35107,1565
513,Indiana,04-22-2020,12438,666
514,Iowa,04-22-2020,3748,90
515,Kansas,04-22-2020,2331,112
516,Kentucky,04-22-2020,3378,185
517,Louisiana,04-22-2020,25258,1473
518,Maine,04-22-2020,907,39
519,Maryland,04-22-2020,14775,698
520,Massachusetts,04-22-2020,42944,2182
521,Michigan,04-22-2020,33966,2813
522,Minnesota,04-22-2020,2722,179
523,Mississippi,04-22-2020,4894,193
524,Missouri,04-22-2020,6277,238
525,Montana,04-22-2020,439,14
526,Nebraska,04-22-2020,1813,38
527,Nevada,04-22-2020,4081,172
528,New Hampshire,04-22-2020,1588,48
529,New Jersey,04-22-2020,95914,5150
530,New Mexico,04-22-2020,2210,71
531,New York,04-22-2020,263292,19413
532,North Carolina,04-22-2020,7495,265
533,North Dakota,04-22-2020,679,14
534,Ohio,04-22-2020,14117,610
535,Oklahoma,04-22-2020,2894,170
536,Oregon,04-22-2020,2059,78
537,Pennsylvania,04-22-2020,36082,1673
538,Rhode Island,04-22-2020,5841,181
539,South Carolina,04-22-2020,4761,140
540,South Dakota,04-22-2020,1858,9
541,Tennessee,04-22-2020,7394,157
542,Texas,04-22-2020,21350,557
543,Utah,04-22-2020,3445,32
544,Vermont,04-22-2020,823,40
545,Virginia,04-22-2020,10266,349
546,Washington,04-22-2020,12596,686
547,West Virginia,04-22-2020,939,27
548,Wisconsin,04-22-2020,4845,248
549,Wyoming,04-22-2020,447,6
550,Alabama,04-23-2020,5899,202
551,Alaska,04-23-2020,337,9
552,Arizona,04-23-2020,5772,249
553,Arkansas,04-23-2020,2599,45
554,California,04-23-2020,39561,1533
555,Colorado,04-23-2020,11278,552
556,Connecticut,04-23-2020,23100,1639
557,Delaware,04-23-2020,3308,92
558,Florida,04-23-2020,29648,987
559,Georgia,04-23-2020,21883,881
560,Hawaii,04-23-2020,596,12
561,Idaho,04-23-2020,1836,54
562,Illinois,04-23-2020,36937,1688
563,Indiana,04-23-2020,13039,706
564,Iowa,04-23-2020,3924,96
565,Kansas,04-23-2020,2721,113
566,Kentucky,04-23-2020,3479,191
567,Louisiana,04-23-2020,25739,1599
568,Maine,04-23-2020,937,44
569,Maryland,04-23-2020,15737,748
570,Massachusetts,04-23-2020,46023,2360
571,Michigan,04-23-2020,35296,2977
572,Minnesota,04-23-2020,2942,200
573,Mississippi,04-23-2020,5153,201
574,Missouri,04-23-2020,6506,252
575,Montana,04-23-2020,442,14
576,Nebraska,04-23-2020,2202,47
577,Nevada,04-23-2020,4208,195
578,New Hampshire,04-23-2020,1670,51
579,New Jersey,04-23-2020,100025,5426
580,New Mexico,04-23-2020,2379,78
581,New York,04-23-2020,263460,20973
582,North Carolina,04-23-2020,7820,281
583,North Dakota,04-23-2020,709,15
584,Ohio,04-23-2020,14694,656
585,Oklahoma,04-23-2020,3017,179
586,Oregon,04-23-2020,2127,83
587,Pennsylvania,04-23-2020,38379,1724
588,Rhode Island,04-23-2020,6256,189
589,South Carolina,04-23-2020,4917,150
590,South Dakota,04-23-2020,1956,9
591,Tennessee,04-23-2020,8266,171
592,Texas,04-23-2020,22650,604
593,Utah,04-23-2020,3612,35
594,Vermont,04-23-2020,825,43
595,Virginia,04-23-2020,10998,373
596,Washington,04-23-2020,12753,711
597,West Virginia,04-23-2020,981,31
598,Wisconsin,04-23-2020,5052,258
599,Wyoming,04-23-2020,453,7
600,Alabama,04-24-2020,6092,209
601,Alaska,04-24-2020,339,9
602,Arizona,04-24-2020,6045,266
603,Arkansas,04-24-2020,2810,47
604,California,04-24-2020,41355,1621
605,Colorado,04-24-2020,12256,674
606,Connecticut,04-24-2020,23936,1767
607,Delaware,04-24-2020,3442,100
608,Florida,04-24-2020,30533,1046
609,Georgia,04-24-2020,22491,899
610,Hawaii,04-24-2020,601,13
611,Idaho,04-24-2020,1870,54
612,Illinois,04-24-2020,39658,1795
613,Indiana,04-24-2020,13681,741
614,Iowa,04-24-2020,4445,107
615,Kansas,04-24-2020,2959,118
616,Kentucky,04-24-2020,3779,200
617,Louisiana,04-24-2020,26140,1660
618,Maine,04-24-2020,965,47
619,Maryland,04-24-2020,16616,798
620,Massachusetts,04-24-2020,50969,2556
621,Michigan,04-24-2020,36641,3085
622,Minnesota,04-24-2020,3185,221
623,Mississippi,04-24-2020,5434,209
624,Missouri,04-24-2020,6788,272
625,Montana,04-24-2020,444,14
626,Nebraska,04-24-2020,2424,50
627,Nevada,04-24-2020,4398,197
628,New Hampshire,04-24-2020,1720,53
629,New Jersey,04-24-2020,102196,5683
630,New Mexico,04-24-2020,2521,84
631,New York,04-24-2020,271590,21411
632,North Carolina,04-24-2020,8290,294
633,North Dakota,04-24-2020,748,15
634,Ohio,04-24-2020,15169,690
635,Oklahoma,04-24-2020,3121,188
636,Oregon,04-24-2020,2177,86
637,Pennsylvania,04-24-2020,40208,1747
638,Rhode Island,04-24-2020,6699,202
639,South Carolina,04-24-2020,5070,157
640,South Dakota,04-24-2020,2040,10
641,Tennessee,04-24-2020,8728,169
642,Texas,04-24-2020,23642,626
643,Utah,04-24-2020,3782,39
644,Vermont,04-24-2020,827,44
645,Virginia,04-24-2020,11594,411
646,Washington,04-24-2020,12977,722
647,West Virginia,04-24-2020,1010,32
648,Wisconsin,04-24-2020,5356,263
649,Wyoming,04-24-2020,473,7
650,Alabama,04-25-2020,6274,209
651,Alaska,04-25-2020,339,9
652,Arizona,04-25-2020,6286,273
653,Arkansas,04-25-2020,2911,48
654,California,04-25-2020,42368,1689
655,Colorado,04-25-2020,12968,684
656,Connecticut,04-25-2020,24583,1865
657,Delaware,04-25-2020,3576,112
658,Florida,04-25-2020,30839,1055
659,Georgia,04-25-2020,23222,907
660,Hawaii,04-25-2020,605,13
661,Idaho,04-25-2020,1887,56
662,Illinois,04-25-2020,41777,1875
663,Indiana,04-25-2020,14399,786
664,Iowa,04-25-2020,5092,112
665,Kansas,04-25-2020,3135,120
666,Kentucky,04-25-2020,3915,205
667,Louisiana,04-25-2020,26512,1707
668,Maine,04-25-2020,965,47
669,Maryland,04-25-2020,17766,875
670,Massachusetts,04-25-2020,53348,2730
671,Michigan,04-25-2020,37074,3155
672,Minnesota,04-25-2020,3446,244
673,Mississippi,04-25-2020,5718,221
674,Missouri,04-25-2020,6935,281
675,Montana,04-25-2020,445,14
676,Nebraska,04-25-2020,2719,50
677,Nevada,04-25-2020,4539,205
678,New Hampshire,04-25-2020,1797,53
679,New Jersey,04-25-2020,105498,5914
680,New Mexico,04-25-2020,2660,93
681,New York,04-25-2020,282143,22009
682,North Carolina,04-25-2020,8768,305
683,North Dakota,04-25-2020,803,16
684,Ohio,04-25-2020,15587,711
685,Oklahoma,04-25-2020,3194,194
686,Oregon,04-25-2020,2253,87
687,Pennsylvania,04-25-2020,41153,1793
688,Rhode Island,04-25-2020,7129,215
689,South Carolina,04-25-2020,5253,166
690,South Dakota,04-25-2020,2147,10
691,Tennessee,04-25-2020,9189,177
692,Texas,04-25-2020,24176,640
693,Utah,04-25-2020,3948,41
694,Vermont,04-25-2020,843,46
695,Virginia,04-25-2020,12366,437
696,Washington,04-25-2020,13319,737
697,West Virginia,04-25-2020,1010,32
698,Wisconsin,04-25-2020,5687,266
699,Wyoming,04-25-2020,491,7
700,Alabama,04-26-2020,6475,219
701,Alaska,04-26-2020,340,9
702,Arizona,04-26-2020,6534,275
703,Arkansas,04-26-2020,3001,51
704,California,04-26-2020,43558,1725
705,Colorado,04-26-2020,13441,688
706,Connecticut,04-26-2020,25269,1924
707,Delaware,04-26-2020,4034,120
708,Florida,04-26-2020,31532,1075
709,Georgia,04-26-2020,23486,916
710,Hawaii,04-26-2020,606,14
711,Idaho,04-26-2020,1897,56
712,Illinois,04-26-2020,43903,1933
713,Indiana,04-26-2020,15012,813
714,Iowa,04-26-2020,5476,118
715,Kansas,04-26-2020,3277,121
716,Kentucky,04-26-2020,4085,208
717,Louisiana,04-26-2020,26773,1729
718,Maine,04-26-2020,1015,50
719,Maryland,04-26-2020,18581,910
